batch_timestamp,machine,dataset,group,n_rows,n_train,n_test,n_features,k,algorithm,run,time_seconds,accuracy_pct
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,9,0.34686975099975825,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_brute,10,0.3433104010000534,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,1,1.5109472650001408,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,2,1.516028529000323,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,3,1.5271017000004576,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,4,1.528673080999397,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,5,1.5228939489998083,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,6,1.5234059260001231,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,7,1.5125927159997445,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,8,1.507294557000023,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,9,1.5090732810003828,44.425
20260327_113737,ECS-CSH-308-18,aapl_100k,aapl_scaling,100000,80000,20000,16,5,sklearn_kdtree,10,1.5001596309994056,44.425
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,1,1.7835442060004425,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,2,1.6541932480004107,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,3,1.6379929889999403,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,4,1.688122332999228,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,5,1.7633530120001524,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,6,1.7038654889993268,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,7,1.810706233000019,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,8,1.7541617540000516,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,9,1.7215746479996596,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_brute,10,1.6451063360000262,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,1,6.744126126000083,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,2,6.475029487999564,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,3,6.361551775999942,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,4,5.865925503999279,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,5,5.916870729999573,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,6,6.120444125999711,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,7,5.745293885000137,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,8,5.787027993000265,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,9,5.822708568000053,44.24087627093669
20260327_113737,ECS-CSH-308-18,aapl_full,aapl_scaling,203586,162868,40718,16,5,sklearn_kdtree,10,5.818103346000498,44.24087627093669
